Depth Of Cut,Feed Rate,Lenght Of Cut,Load X,Load Y
0.5,0.2,1.0,214797.0,720389.0
0.5,0.2,1.0,215297.0,731835.0
0.5,0.2,1.0,215959.0,744507.0
0.5,0.2,1.0,219285.0,789333.0
0.5,0.2,1.0,230429.0,842174.0
0.5,0.2,1.0,233166.0,857561.0
0.5,0.2,1.0,222856.0,640248.0
0.5,0.2,1.0,227435.0,681067.0
0.5,0.2,1.0,229786.0,70653.0
0.5,0.2,1.0,231975.0,731993.0
0.5,0.2,1.0,233567.0,745945.0
0.5,0.2,1.0,236275.0,785963.0
0.5,0.2,1.0,237994.0,802232.0
0.5,0.2,1.0,239.02,814591.0
0.5,0.2,1.0,240507.0,841308.0
0.5,0.2,1.0,241107.0,842518.0
0.5,0.2,1.0,242343.0,866099.0
0.5,0.2,1.0,243217.0,878039.0
0.5,0.2,1.0,243741.0,877301.0
0.5,0.2,1.0,244847.0,899347.0
0.5,0.2,1.0,255473.0,955959.0
0.5,0.2,1.0,257524.0,978596.0
0.5,0.2,1.0,247.99,794719.0
0.5,0.2,1.0,248983.0,803927.0
0.5,0.2,1.0,254373.0,867755.0
0.5,0.2,1.0,257351.0,916844.0
0.5,0.2,1.0,259651.0,95129.0
0.5,0.2,1.0,259816.0,954923.0
0.5,0.2,1.0,260776.0,969513.0
0.5,0.2,1.0,261705.0,983525.0
0.5,0.2,1.0,262335.0,995813.0
0.5,0.2,1.0,263148.0,100849.0
0.5,0.2,1.0,263803.0,101505.0
0.5,0.2,1.0,264345.0,102727.0
0.5,0.2,1.0,264989.0,103534.0
0.5,0.2,1.0,265832.0,104889.0
0.5,0.2,1.0,266468.0,105727.0
0.5,0.2,1.0,267094.0,106425.0
0.5,0.2,1.0,267781.0,107083.0
0.5,0.2,1.0,268097.0,108006.0
0.5,0.2,1.0,268691.0,108062.0
0.5,0.2,1.0,278629.0,113586.0
0.5,0.2,1.0,280358.0,114187.0
0.5,0.2,1.0,275238.0,103982.0
0.5,0.2,1.0,269095.0,93943.0
0.5,0.2,1.0,271223.0,956068.0
0.5,0.2,1.0,273022.0,973839.0
0.5,0.2,1.0,274403.0,993396.0
0.5,0.2,1.0,275587.0,101041.0
0.5,0.2,1.0,277176.0,103156.0
0.5,0.2,1.0,278359.0,105129.0
0.5,0.2,1.0,279.79,107265.0
0.5,0.2,1.0,280.78,108983.0
0.5,0.2,1.0,281942.0,110.69
0.5,0.2,1.0,282.9,112161.0
0.5,0.2,1.0,283.78,113666.0
0.5,0.2,1.0,284836.0,114546.0
0.5,0.2,1.0,285.43,116252.0
0.5,0.2,1.0,286168.0,117455.0
0.5,0.2,1.0,286815.0,118662.0
0.5,0.2,1.0,287309.0,119.85
0.5,0.2,1.0,287755.0,120932.0
0.5,0.2,1.0,288796.0,121823.0
0.5,0.2,1.0,288926.0,123096.0
0.5,0.2,1.0,289582.0,123792.0
0.5,0.2,1.0,290243.0,125138.0
0.5,0.2,1.0,291473.0,125608.0
0.5,0.2,1.0,291999.0,126606.0
0.5,0.2,1.0,292533.0,126934.0
0.5,0.2,1.0,296888.0,117841.0
0.5,0.2,1.0,299904.0,122041.0
0.5,0.2,1.0,300963.0,123915.0
0.5,0.2,1.0,302411.0,126044.0
0.5,0.2,1.0,303672.0,127695.0
0.5,0.2,1.0,304461.0,128887.0
0.5,0.2,1.0,305333.0,129936.0
0.5,0.2,1.0,306232.0,131243.0
0.5,0.2,1.0,306989.0,132632.0
0.5,0.2,1.0,307807.0,133484.0
0.5,0.2,1.0,308724.0,134876.0
0.5,0.2,1.0,309664.0,136425.0
0.5,0.2,1.0,310538.0,138025.0
0.5,0.2,1.0,311056.0,139426.0
0.5,0.2,1.0,312.45,141471.0
0.5,0.2,1.0,313153.0,143243.0
0.5,0.2,1.0,313954.0,144768.0
0.5,0.2,1.0,314.69,146025.0
0.5,0.2,1.0,315313.0,147441.0
0.5,0.2,1.0,316037.0,148901.0
0.5,0.2,1.0,316718.0,150039.0
0.5,0.2,1.0,317282.0,151524.0
0.5,0.2,1.0,318069.0,152422.0
0.5,0.2,1.0,318662.0,153682.0
0.5,0.2,1.0,318536.0,154.66
0.5,0.2,1.0,319537.0,155768.0
0.5,0.2,1.0,320.36,156618.0
0.5,0.2,1.0,320921.0,157545.0
0.5,0.2,1.0,321254.0,158623.0
0.5,0.2,1.0,321289.0,159.69
0.5,0.2,1.0,321776.0,160514.0
0.5,0.2,1.0,322504.0,161224.0
0.5,0.2,1.0,322928.0,162374.0
0.5,0.2,1.0,323144.0,163086.0
0.5,0.2,1.0,323706.0,164241.0
0.5,0.2,1.0,324248.0,165006.0
0.5,0.2,1.0,324772.0,165883.0
0.5,0.2,1.0,324874.0,166471.0
0.5,0.2,1.0,325.58,167281.0
0.5,0.2,1.0,325928.0,167701.0
0.5,0.2,1.0,334.24,172293.0
0.5,0.2,1.0,316983.0,140592.0
0.5,0.2,1.0,321391.0,145837.0
0.5,0.2,1.0,325521.0,150373.0
0.5,0.2,1.0,327936.0,153616.0
0.5,0.2,1.0,328788.0,154.7
0.5,0.2,1.0,329361.0,155491.0
